t	x	y
0.81	-0.0468691	-0.716916
0.811	-0.0500946	-0.720528
0.812	-0.0533378	-0.724156
0.813	-0.0565989	-0.727799
0.814	-0.0598776	-0.731457
0.815	-0.0631741	-0.735131
0.816	-0.0664882	-0.738819
0.817	-0.0698201	-0.742523
0.818	-0.0731696	-0.746242
0.819	-0.0765366	-0.749975
0.82	-0.0799213	-0.753724
0.821	-0.0833235	-0.757488
0.822	-0.0867432	-0.761266
0.823	-0.0901803	-0.765059
0.824	-0.0936348	-0.768867
0.825	-0.0971067	-0.77269
0.826	-0.100596	-0.776527
0.827	-0.104102	-0.780379
0.828	-0.107626	-0.784246
0.829	-0.111166	-0.788127
0.83	-0.114724	-0.792023
0.831	-0.118299	-0.795933
0.832	-0.12189	-0.799858
0.833	-0.125498	-0.803797
0.834	-0.129123	-0.80775
0.835	-0.132765	-0.811718
0.836	-0.136423	-0.8157
0.837	-0.140098	-0.819696
0.838	-0.143789	-0.823706
0.839	-0.147496	-0.82773
0.84	-0.151219	-0.831768
0.841	-0.154959	-0.835821
0.842	-0.158714	-0.839887
0.843	-0.162485	-0.843967
0.844	-0.166272	-0.848062
0.845	-0.170074	-0.85217
0.846	-0.173892	-0.856291
0.847	-0.177726	-0.860427
0.848	-0.181574	-0.864576
0.849	-0.185438	-0.868739
0.85	-0.189316	-0.872916
0.851	-0.19321	-0.877106
0.852	-0.197118	-0.88131
0.853	-0.20104	-0.885527
0.854	-0.204978	-0.889758
0.855	-0.208929	-0.894002
0.856	-0.212895	-0.898259
0.857	-0.216874	-0.90253
0.858	-0.220867	-0.906814
0.859	-0.224875	-0.911112
0.86	-0.228895	-0.915422
0.861	-0.232929	-0.919746
0.862	-0.236976	-0.924083
0.863	-0.241037	-0.928433
0.864	-0.24511	-0.932796
0.865	-0.249196	-0.937172
0.866	-0.253294	-0.941561
0.867	-0.257405	-0.945963
0.868	-0.261528	-0.950378
0.869	-0.265663	-0.954806
0.87	-0.26981	-0.959246
0.871	-0.273969	-0.9637
0.872	-0.27814	-0.968166
0.873	-0.282321	-0.972644
0.874	-0.286514	-0.977136
0.875	-0.290718	-0.98164
0.876	-0.294932	-0.986156
0.877	-0.299157	-0.990685
0.878	-0.303393	-0.995227
0.879	-0.307639	-0.999781
0.88	-0.311895	-1.00435
0.881	-0.31616	-1.00893
0.882	-0.320436	-1.01352
0.883	-0.32472	-1.01812
0.884	-0.329014	-1.02274
0.885	-0.333317	-1.02736
0.886	-0.337629	-1.032
0.887	-0.34195	-1.03665
0.888	-0.346278	-1.04132
0.889	-0.350615	-1.04599
0.89	-0.354961	-1.05068
0.891	-0.359313	-1.05538
0.892	-0.363674	-1.06009
0.893	-0.368042	-1.06482
0.894	-0.372417	-1.06955
0.895	-0.376799	-1.0743
0.896	-0.381187	-1.07906
0.897	-0.385582	-1.08383
0.898	-0.389984	-1.08861
0.899	-0.394391	-1.0934
0.9	-0.398804	-1.09821
0.901	-0.403223	-1.10302
0.902	-0.407647	-1.10785
0.903	-0.412076	-1.11269
0.904	-0.41651	-1.11754
0.905	-0.420949	-1.1224
0.906	-0.425393	-1.12727
0.907	-0.42984	-1.13215
0.908	-0.434291	-1.13705
0.909	-0.438746	-1.14195
0.91	-0.443205	-1.14687
0.911	-0.447667	-1.1518
0.912	-0.452131	-1.15673
0.913	-0.456599	-1.16168
0.914	-0.461069	-1.16664
0.915	-0.465541	-1.17161
0.916	-0.470015	-1.17659
0.917	-0.474491	-1.18158
0.918	-0.478968	-1.18658
0.919	-0.483446	-1.19159
0.92	-0.487925	-1.19661
0.921	-0.492405	-1.20164
0.922	-0.496886	-1.20668
0.923	-0.501366	-1.21173
0.924	-0.505846	-1.21679
0.925	-0.510326	-1.22186
0.926	-0.514805	-1.22694
0.927	-0.519283	-1.23203
0.928	-0.52376	-1.23712
0.929	-0.528235	-1.24223
0.93	-0.532709	-1.24735
0.931	-0.53718	-1.25247
0.932	-0.541649	-1.25761
0.933	-0.546115	-1.26275
0.934	-0.550578	-1.2679
0.935	-0.555037	-1.27306
0.936	-0.559493	-1.27823
0.937	-0.563945	-1.28341
0.938	-0.568393	-1.28859
0.939	-0.572836	-1.29379
0.94	-0.577274	-1.29899
0.941	-0.581706	-1.3042
0.942	-0.586133	-1.30941
0.943	-0.590555	-1.31464
0.944	-0.594969	-1.31987
0.945	-0.599378	-1.32511
0.946	-0.603779	-1.33035
0.947	-0.608173	-1.33561
0.948	-0.612559	-1.34086
0.949	-0.616937	-1.34613
